quarter,china_real_gdp_yoy_pct,china_real_gdp_qoq_pct,quarter_end,source_note
2010-Q1,12.2,,2010-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2010-Q2,10.7,,2010-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2010-Q3,9.9,,2010-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2010-Q4,9.9,,2010-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2011-Q1,10.1,2.3,2011-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2011-Q2,9.9,2.4,2011-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2011-Q3,9.3,1.8,2011-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2011-Q4,8.7,1.6,2011-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2012-Q1,8.1,1.9,2012-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2012-Q2,7.7,2.1,2012-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2012-Q3,7.5,1.9,2012-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2012-Q4,8.1,2.0,2012-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2013-Q1,7.9,1.9,2013-03-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2013-Q2,7.6,1.8,2013-06-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2013-Q3,7.9,2.1,2013-09-30,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
2013-Q4,7.7,1.6,2013-12-31,OECD DF_QNA_EXPENDITURE_GROWTH_OECD; 2026-Q2 yoy supplemented from NBS when absent
