period,month,GPR,GPRT,GPRA
2010-01,2010-01-01,91.581024,84.97299,100.41094
2010-02,2010-02-01,80.72536,78.846275,80.71174
2010-03,2010-03-01,74.11694,73.49691,70.039345
2010-04,2010-04-01,88.76158,92.056915,81.2684
2010-05,2010-05-01,88.95871,87.49411,85.85739
2010-06,2010-06-01,96.4537,110.69172,70.988625
2010-07,2010-07-01,79.38138,75.18538,84.04823
2010-08,2010-08-01,80.993866,71.95153,85.982574
2010-09,2010-09-01,71.16855,68.94754,69.29395
2010-10,2010-10-01,65.991936,62.09618,76.168915
2010-11,2010-11-01,94.70517,98.68915,83.2665
2010-12,2010-12-01,97.203896,100.39768,91.76211
2011-01,2011-01-01,79.421616,76.59357,78.806984
2011-02,2011-02-01,90.01449,90.18934,85.48683
2011-03,2011-03-01,136.8883,126.96573,157.47984
2011-04,2011-04-01,91.01777,72.92318,111.94474
2011-05,2011-05-01,105.34492,95.50664,123.8261
2011-06,2011-06-01,84.391846,71.39113,98.27276
2011-07,2011-07-01,78.92476,59.019047,102.111755
2011-08,2011-08-01,86.95157,63.504677,112.49906
2011-09,2011-09-01,83.35045,70.60669,95.26744
2011-10,2011-10-01,76.339935,64.185104,92.343315
2011-11,2011-11-01,83.15768,95.57453,70.11004
2011-12,2011-12-01,85.341324,88.89408,77.47648
2012-01,2012-01-01,79.63497,93.6096,62.06843
2012-02,2012-02-01,92.44582,104.2075,78.59986
2012-03,2012-03-01,88.75998,87.85648,85.85699
2012-04,2012-04-01,96.016685,101.920784,86.38437
2012-05,2012-05-01,78.17116,80.63489,69.743546
2012-06,2012-06-01,77.82243,70.23216,82.174736
2012-07,2012-07-01,82.80802,79.336266,91.0008
2012-08,2012-08-01,74.87836,70.98916,78.11162
2012-09,2012-09-01,69.28051,68.402824,65.87126
2012-10,2012-10-01,81.663666,74.20601,88.0309
2012-11,2012-11-01,81.38964,75.65846,89.048416
2012-12,2012-12-01,74.83156,66.240524,82.978615
2013-01,2013-01-01,90.65749,84.13989,108.94932
2013-02,2013-02-01,81.59033,77.605316,85.65817
2013-03,2013-03-01,75.89672,81.891754,69.39681
2013-04,2013-04-01,95.10787,99.52195,87.472755
2013-05,2013-05-01,83.717316,75.32922,98.22759
2013-06,2013-06-01,82.97301,78.821884,86.6342
2013-07,2013-07-01,73.975815,71.55719,72.67587
2013-08,2013-08-01,90.95675,80.73958,106.97909
2013-09,2013-09-01,100.45933,100.38423,100.16348
2013-10,2013-10-01,72.95312,65.50166,78.73003
2013-11,2013-11-01,77.77902,92.49888,52.43838
2013-12,2013-12-01,70.37249,70.09461,66.790726
2014-01,2014-01-01,77.91597,70.48077,83.1459
2014-02,2014-02-01,69.003525,73.278656,59.086555
2014-03,2014-03-01,119.838554,151.67477,74.06189
2014-04,2014-04-01,93.22154,113.13993,60.9063
2014-05,2014-05-01,83.428856,91.69875,76.15044
2014-06,2014-06-01,98.767105,95.32297,107.182014
2014-07,2014-07-01,138.75395,162.7151,118.54684
2014-08,2014-08-01,136.44559,158.59349,112.11449
2014-09,2014-09-01,131.55666,143.39539,120.78192
2014-10,2014-10-01,83.661,86.33345,77.19393
2014-11,2014-11-01,84.38005,88.46994,76.33753
2014-12,2014-12-01,86.52622,81.273224,96.237366
2015-01,2015-01-01,111.985695,83.50391,153.33984
2015-02,2015-02-01,111.9247,118.225204,107.790535
2015-03,2015-03-01,104.23527,117.48873,83.63285
2015-04,2015-04-01,102.19049,110.18873,95.08646
2015-05,2015-05-01,76.26233,77.66873,72.861885
2015-06,2015-06-01,85.90597,81.066086,88.78943
2015-07,2015-07-01,106.80866,120.84297,86.168816
2015-08,2015-08-01,82.47853,85.33859,74.0283
2015-09,2015-09-01,98.767456,115.885185,79.34535
2015-10,2015-10-01,91.931885,79.72632,108.51442
2015-11,2015-11-01,150.71588,113.04398,213.99352
2015-12,2015-12-01,148.23688,115.224365,204.63127
2016-01,2016-01-01,118.21114,124.23914,109.5291
2016-02,2016-02-01,103.74965,91.32202,117.582016
2016-03,2016-03-01,109.72029,98.02693,127.76814
2016-04,2016-04-01,85.22145,80.82244,93.122986
2016-05,2016-05-01,88.33242,84.461365,93.639656
2016-06,2016-06-01,90.16813,80.51286,100.857376
2016-07,2016-07-01,114.61045,97.098045,145.14874
2016-08,2016-08-01,98.73849,82.44047,121.4537
2016-09,2016-09-01,104.54523,95.48959,121.1505
2016-10,2016-10-01,85.74779,79.64809,100.30768
2016-11,2016-11-01,82.918755,81.22565,83.97506
