period,china_iav_yoy_pct,china_iav_cumulative_yoy_pct,observation_status,source_indicator,source_url,download_date,raw_sha256
2010-01,,,official_calendar_gap_no_interpolation,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-02,12.8,20.7,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-03,18.1,19.6,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-04,17.8,19.1,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-05,16.5,18.5,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-06,13.7,17.6,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-07,13.4,17.0,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-08,13.9,16.6,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-09,13.3,16.3,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-10,13.1,16.1,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-11,13.3,15.8,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2010-12,13.5,15.7,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-01,,,official_calendar_gap_no_interpolation,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-02,14.9,14.1,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-03,14.8,14.4,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-04,13.4,14.2,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-05,13.3,14.0,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-06,15.1,14.3,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-07,14.0,14.3,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-08,13.5,14.2,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-09,13.8,14.2,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-10,13.2,14.1,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-11,12.4,14.0,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2011-12,12.8,13.9,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-01,,,official_calendar_gap_no_interpolation,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-02,21.3,11.4,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-03,11.9,11.6,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-04,9.3,11.0,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-05,9.6,10.7,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-06,9.5,10.5,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-07,9.2,10.3,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-08,8.9,10.1,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
2012-09,9.2,10.0,observed,规上工业增加值同比增长 (%),https://data.stats.gov.cn/dg/website/page.html#/pc/national/monthData,2026-07-31,9b71d8ca1ab44e49211726c4ad06266118ca705dd35f3b68f41b225cc66188e0
