REF_AREA,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,BASE_PER
DEU,HICP,CPI,PA,_T,N,GY,2020-07,0.0,A,
JPN,N,CPI,PA,_T,N,GY,2010-12,0.0,A,
JPN,N,CPI,PA,_T,N,GY,2011-09,0.0,A,
JPN,N,CPI,PA,_T,N,GY,2015-09,0.0,A,
JPN,N,CPI,PA,_T,N,GY,2016-03,0.0,A,
JPN,N,CPI,PA,_T,N,GY,2020-09,0.0,A,
KOR,N,CPI,PA,_T,N,GY,2019-10,0.0,A,
CHN,N,CPI,PA,_T,N,GY,2023-06,0.0,A,
CHN,N,CPI,PA,_T,N,GY,2023-09,0.0,A,
CHN,N,CPI,PA,_T,N,GY,2025-07,0.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-01,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-02,0.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-03,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-04,1.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-05,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-06,0.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-07,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-08,1.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-09,1.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-10,1.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-11,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2010-12,1.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-01,2.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-02,2.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-03,2.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-04,2.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-05,2.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-06,2.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-07,2.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-08,2.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-09,2.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-10,2.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-11,2.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2011-12,2.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-01,2.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-02,2.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-03,2.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-04,2.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-05,2.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-06,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-07,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-08,2.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-09,2.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-10,2.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-11,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2012-12,2.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-01,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-02,1.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-03,1.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-04,1.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-05,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-06,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-07,2.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-08,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-09,1.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-10,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-11,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2013-12,1.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-01,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-02,1.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-03,0.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-04,1.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-05,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-06,0.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-07,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-08,0.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-09,0.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-10,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-11,0.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2014-12,0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-01,-0.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-02,-0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-03,0.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-04,1.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-05,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-06,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-07,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-08,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-09,0.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-10,1.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-11,0.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2015-12,0.2,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-01,0.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-02,-0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-03,0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-04,-0.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-05,-0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-06,0.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-07,0.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-08,0.3,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-09,0.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-10,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-11,0.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2016-12,1.6,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-01,1.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-02,2.1,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-03,1.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-04,2.0,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-05,1.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-06,1.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-07,1.7,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-08,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-09,1.9,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-10,1.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-11,1.8,A,
DEU,HICP,CPI,PA,_T,N,GY,2017-12,1.5,A,
DEU,HICP,CPI,PA,_T,N,GY,2018-01,1.4,A,
DEU,HICP,CPI,PA,_T,N,GY,2018-02,1.2,A,
