REF_AREA,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,BASE_PER
ESP,PRVM,IX,BTE,Y,_Z,2014-02,96.36238847,P,2015
ESP,PRVM,IX,BTE,Y,_Z,2014-04,97.80370625,P,2015
FRA,PRVM,IX,BTE,Y,_Z,2023-10,99.116745974839,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-08,100.59318167,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-09,101.56117594,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-02,101.14073398,A,2015
KOR,PRVM,IX,BTE,Y,_Z,2015-07,98.57636857,A,2015
KOR,PRVM,IX,BTE,Y,_Z,2015-08,100.97462361,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2013-12,99.71318689,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-02,100.13362884,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-05,97.92386416,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-06,99.35141125,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-07,100.17273972,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-08,98.53986051,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-10,98.18786259,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-11,96.8092041,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-12,100.15318428,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-01,99.87940813,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-02,100.83762467,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2023-08,98.9896356169744,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2023-09,99.07763509549608,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-10,101.66873085999998,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2017-01,101.36562154,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2017-06,102.5780588,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2020-01,103.08650023,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2020-02,104.71937944,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2020-06,90.99146079,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-01,98.39319471,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-02,97.75764292,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-03,99.68385373,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-06,99.67407601,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-07,100.39762728,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-08,99.20474546,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-10,100.33896096,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-11,101.65895314,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-01,104.19138257,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-07,103.07672251,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-09,101.4927319,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-10,101.70784173,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-11,103.7611629,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-12,101.72739717,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-01,101.1505117,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-02,102.14783913,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-03,101.43406558,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-05,100.15318428,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-07,99.90874128,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-09,99.83051953,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-05,100.04562936,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-09,100.27051692,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-12,101.30695522,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2023-12,99.889185841862,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2024-01,99.4394107294182,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2024-02,99.9478521608764,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2024-03,99.3220780913894,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-06,99.32207809,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-12,99.09719054,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2013-06,100.08474024,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-04,99.47852161,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-09,99.72296461,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2015-07,99.74252005,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-01,101.2971775,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-03,100.37807184,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2016-10,99.86963041,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2017-04,101.36562154,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2017-05,103.67316342,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-10,98.44208331,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2014-03,99.50785477,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-05,100.045629359234,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-09,100.554070790692,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2010-12,102.98872302979,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-02,104.55315820350698,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-04,101.492731894922,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2011-06,101.981617886709,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-04,101.610064532951,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2012-08,101.922951567695,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2013-01,98.8527475392742,A,2015
FRA,PRVM,IX,BTE,Y,_Z,2013-03,100.602959389871,A,2015
