DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),FRA,M,HICP,CPI,PA,_T,N,GY,2020-09,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),FRA,M,HICP,CPI,PA,_T,N,GY,2020-12,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),DEU,M,HICP,CPI,PA,_T,N,GY,2020-07,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),ITA,M,HICP,CPI,PA,_T,N,GY,2014-07,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),ITA,M,HICP,CPI,PA,_T,N,GY,2015-03,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),ITA,M,HICP,CPI,PA,_T,N,GY,2015-04,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),JPN,M,N,CPI,PA,_T,N,GY,2010-12,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),JPN,M,N,CPI,PA,_T,N,GY,2011-09,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),JPN,M,N,CPI,PA,_T,N,GY,2015-09,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),JPN,M,N,CPI,PA,_T,N,GY,2016-03,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),JPN,M,N,CPI,PA,_T,N,GY,2020-09,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2019-10,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),CHN,M,N,CPI,PA,_T,N,GY,2023-06,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),CHN,M,N,CPI,PA,_T,N,GY,2023-09,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),CHN,M,N,CPI,PA,_T,N,GY,2025-07,0,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-01,3.518496,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-02,2.983924,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-03,2.458154,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-04,2.598316,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-05,2.702058,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-06,2.688929,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-07,2.530742,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2010-08,2.681788,A,0,,,1
