DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,BASE_PER
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),ESP,M,PRVM,IX,BTE,Y,_Z,2014-02,96.36238847,P,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),ESP,M,PRVM,IX,BTE,Y,_Z,2014-04,97.80370625,P,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2023-10,99.116745974839,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2015-08,100.59318166999999,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2015-09,101.56117594,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2016-02,101.14073398000001,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),KOR,M,PRVM,IX,BTE,Y,_Z,2015-07,98.57636857,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),KOR,M,PRVM,IX,BTE,Y,_Z,2015-08,100.97462361,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2013-12,99.71318689,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-02,100.13362884000001,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-05,97.92386416,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-06,99.35141125,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-07,100.17273972,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-08,98.53986051,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-10,98.18786259,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-11,96.8092041,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2014-12,100.15318427999999,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2015-01,99.87940813,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2015-02,100.83762467,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2023-08,98.9896356169744,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2023-09,99.07763509549609,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2015-10,101.66873085999998,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2017-01,101.36562153999999,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2017-06,102.5780588,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2020-01,103.08650023000001,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2020-02,104.71937944,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2020-06,90.99146079,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-01,98.39319471,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-02,97.75764292,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-03,99.68385373000001,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-06,99.67407601,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-07,100.39762728,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-08,99.20474546,A,0,1,2015
OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),FRA,M,PRVM,IX,BTE,Y,_Z,2010-10,100.33896096,A,0,1,2015
