model,horizon,n,MAE,RMSE,relative_MAE_vs_no_change,relative_RMSE_vs_no_change,dm_hln_stat_rmse_loss,dm_hln_pvalue_rmse_loss,dm_hln_stat_mae_loss,dm_hln_pvalue_mae_loss,direction_accuracy,coverage_80,coverage_95,model_status
ARIMA,1,78,0.08920442893134412,0.14369515981553152,0.9763060701094592,1.0208937979792294,0.15930773150457633,0.8734264296917282,-0.40243732108820807,0.6873622082014219,0.5512820512820513,0.8589743589743589,0.9230769230769231,CONDITIONAL
ARIMA,3,78,0.1785111005493038,0.29769683734414054,1.0773981266634325,1.118958131586411,1.059248010916751,0.2894868450416772,1.354176926946574,0.17567993830023654,0.48717948717948717,0.8205128205128205,0.8974358974358975,FAIL
ARIMA,6,78,0.23135961461709234,0.3432221490480435,1.0484676369997317,1.1136961427467837,1.0828856960654274,0.2788591616443026,1.0176131000867297,0.3088618592890089,0.5256410256410257,0.8076923076923077,0.9230769230769231,FAIL
ETS,1,78,0.09659720496902868,0.1630862765322104,1.0572169868320607,1.1586595433067843,0.9992064720685563,0.31769468128561096,1.0278996085387424,0.30399705372898067,0.46153846153846156,0.8717948717948718,0.9230769230769231,FAIL
ETS,3,78,0.17886747158672683,0.3232142428313436,1.0795489928388982,1.2148708346625479,0.9972844848425366,0.31862644249849215,1.0328908477962988,0.30165498227285603,0.41025641025641024,0.8205128205128205,0.8846153846153846,FAIL
ETS,6,78,0.24155050390934035,0.3913017287346076,1.094650362679202,1.2697060115455419,0.9840718931172413,0.3250801654673905,1.0432687554612343,0.29682383755091335,0.38461538461538464,0.782051282051282,0.8974358974358975,FAIL
EqualWeight,1,78,0.09161592322808282,0.14477525944501587,1.002698891050585,1.0285674525014539,0.38618543937543626,0.6993593365974895,0.0861681532734638,0.9313327465266232,0.5512820512820513,0.8717948717948718,0.9230769230769231,CONDITIONAL
EqualWeight,3,78,0.17233755142338117,0.2865429645622202,1.0401378652978002,1.0770338815360745,1.0125148723566835,0.31129193935940735,1.114152408726674,0.26521380827025176,0.5256410256410257,0.8333333333333334,0.8974358974358975,FAIL
EqualWeight,6,78,0.22885531554734292,0.3336465638922214,1.0371187396031554,1.082625035354208,1.0384935623834022,0.2990403308264744,1.0037866543828686,0.31548145840364494,0.5256410256410257,0.7948717948717948,0.9230769230769231,FAIL
SARIMAX,1,78,0.09100661237523937,0.144237369405951,0.9960302324274523,1.024745969540016,0.21417071745845814,0.8304139303510052,-0.07651466551782218,0.9390096467827995,0.5641025641025641,0.8589743589743589,0.9230769230769231,CONDITIONAL
SARIMAX,3,78,0.17682075525063262,0.2938292899770662,1.0671961008364745,1.1044211159624235,1.072040174832489,0.28370198773125344,1.3386751598112538,0.18067644629379664,0.5384615384615384,0.8205128205128205,0.8974358974358975,FAIL
SARIMAX,6,78,0.23128265701641992,0.33942321906619954,1.0481188831609956,1.101369276083081,1.114525180679459,0.2650539480164096,1.0707969215394515,0.28426075142335616,0.5,0.7948717948717948,0.9230769230769231,FAIL
Theta,1,78,0.09160218560098055,0.1408960124256407,1.0025485383283095,1.001007030647346,0.4611598990316891,0.6446838897515075,0.9704386188544639,0.331827906742201,0.48717948717948717,0.8717948717948718,0.9230769230769231,CONDITIONAL
Theta,3,78,0.16696804437990842,0.2667830572978831,1.0077303746042685,1.0027619842929627,0.5497659839759453,0.582479892619965,1.2243784473571806,0.22080949592254973,0.48717948717948717,0.8205128205128205,0.8846153846153846,CONDITIONAL
Theta,6,78,0.22285298151620334,0.310453500726862,1.0099175662759627,1.0073675816689343,0.5686858184003342,0.5695693736288818,0.6512950552468386,0.5148560397400073,0.5256410256410257,0.782051282051282,0.9102564102564102,CONDITIONAL
no_change,1,78,0.09136932736815095,0.14075426856345255,1.0,1.0,,,,,0.0,0.8717948717948718,0.9230769230769231,PASS
no_change,3,78,0.1656872201013848,0.2660482362481952,1.0,1.0,,,,,0.0,0.8205128205128205,0.8846153846153846,PASS
no_change,6,78,0.22066452645037776,0.3081829377639143,1.0,1.0,,,,,0.0,0.782051282051282,0.8974358974358975,PASS
