model,order,aic
ARIMA,"(0, 1, 0)",-258.56603726499554
SARIMAX,"(0, 1, 0)",-250.521599321861
ARIMA,"(0, 1, 1)",-261.34151514536137
SARIMAX,"(0, 1, 1)",-252.55668418792817
ARIMA,"(0, 1, 2)",-256.6072366037636
SARIMAX,"(0, 1, 2)",-247.50202994780562
ARIMA,"(1, 1, 0)",-263.23513764010437
SARIMAX,"(1, 1, 0)",-253.1512578482824
ARIMA,"(1, 1, 1)",-259.3874447746378
SARIMAX,"(1, 1, 1)",-250.6143356184341
ARIMA,"(1, 1, 2)",-254.61103135373878
SARIMAX,"(1, 1, 2)",-245.57747443407112
ARIMA,"(2, 1, 0)",-259.826446036568
SARIMAX,"(2, 1, 0)",-250.81345492730657
ARIMA,"(2, 1, 1)",-258.35764955221435
SARIMAX,"(2, 1, 1)",-248.79998635092966
ARIMA,"(2, 1, 2)",-254.8728883159476
SARIMAX,"(2, 1, 2)",-245.03485164161464
