outcome,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,model,specification,shock_identification,sample_start,sample_end,n,ci95_contains_zero,pre_specified_horizon,fdr_qvalue,fdr_significant_10pct,supports_growth_loss_language
china_iav_yoy_pct,0,0.0009953134868829051,0.18104365228270916,-0.2093608655782993,0.4247899899012798,-0.30350695902701763,0.6045956731495231,0.9956135371002403,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-06,149,True,True,0.9956135371002403,False,False
china_iav_yoy_pct,1,-0.10082856984145443,0.20812894167453388,-0.31135472694751287,0.39286170723034264,-0.3914767281086878,0.5612142146393115,0.6280648225914016,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-05,134,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,2,0.0076362114738729465,0.1674127877115499,-0.15711452094997094,0.3632489273696892,-0.24454624149063056,0.5425757752001736,0.9636186503810303,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-04,133,True,False,0.9956135371002403,False,False
china_iav_yoy_pct,3,0.09172155583515712,0.21499601363669626,-0.17616332093523518,0.43596733156319456,-0.3068418617220294,0.6962824325314915,0.6696562754505548,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-01,132,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,4,0.07812249451373682,0.2123304411935675,-0.21414893886898928,0.4284640695940174,-0.38976929115457987,0.7376586919108924,0.7129262895261109,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-01,132,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,5,0.14342627694138996,0.2255081531347754,-0.13067562774747954,0.5224388134196695,-0.22401665601470397,0.7198059447291737,0.5247674865751512,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-01,132,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,6,-0.2569913073339422,0.20870511133504585,-0.5615200965483197,0.14939353085446047,-0.7378122628287265,0.26252894150591577,0.2181879253890714,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-12,131,True,True,0.7372717579773975,False,False
china_iav_yoy_pct,7,-0.24437863824520145,0.19501123395707956,-0.5363811061648864,0.04979244988137769,-0.6552499324156003,0.2164655248108171,0.21015054326205385,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-11,130,True,False,0.7372717579773975,False,False
china_iav_yoy_pct,8,-0.33404747300741006,0.3726510005423152,-0.6989806877830752,0.4044453149967158,-0.9787367687607031,0.600511534493185,0.3700347028925772,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-10,129,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,9,0.12674096039796293,0.24914765844574463,-0.2420104126984166,0.4842752529746847,-0.5000676121913982,0.6350079275006866,0.6109637983266976,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-05,2025-09,128,True,False,0.8425492512581311,False,False
china_iav_yoy_pct,10,0.43398284117771824,0.25990161212276847,-0.06235256090460873,0.7636996339829123,-0.17189343009238459,0.8931877902202042,0.09495960348350732,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-08,141,True,False,0.7372717579773975,False,False
china_iav_yoy_pct,11,-0.23797062081871057,0.1969131327641013,-0.4209295833427875,0.11731535627153074,-0.5415692234207563,0.33225831637772485,0.22685284860843002,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-07,155,True,False,0.7372717579773975,False,False
china_iav_yoy_pct,12,-0.05686541100919798,0.14081011086486594,-0.18159170618157555,0.2631549012722541,-0.2899389011163096,0.5145832467873958,0.6863269548604432,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-06,140,True,True,0.8425492512581311,False,False
china_ppi_yoy_pct,0,0.16975363846076091,0.061480598577438754,0.07141917358526133,0.2662280380930535,0.026237489621429067,0.3198848531759491,0.005760830362816375,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-06,195,False,True,0.024963598238870958,True,False
china_ppi_yoy_pct,1,0.4527786480434586,0.11954770442680902,0.227595995384631,0.5998987411123009,0.15447014041097995,0.6929617958056937,0.00015221310835305486,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-05,194,False,False,0.001978770408589713,True,False
china_ppi_yoy_pct,2,0.5251728060773738,0.17052760742838308,0.1874716315011114,0.6531430673624878,0.06403148358579823,0.7699922936363599,0.002072135468093928,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-04,193,False,False,0.013468880542610532,True,False
china_ppi_yoy_pct,3,0.48618682567859506,0.20808262146876363,0.10428195024867783,0.6476197326360067,-0.00868734940301534,0.7687109307181257,0.01946475213978591,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-03,192,True,False,0.0632604444543042,True,False
china_ppi_yoy_pct,4,0.23190118060565915,0.20225896576664024,-0.04639085511608108,0.5601760002226097,-0.1531541223135656,0.783624135087218,0.2515652727506319,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-02,191,True,False,0.5450580909597025,False,False
china_ppi_yoy_pct,5,0.11293542582034624,0.20397719141538387,-0.14946490820438352,0.4148005073457198,-0.25346773841377396,0.6445041701336729,0.5798068099819143,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-01,190,True,False,0.9405819056972008,False,False
china_ppi_yoy_pct,6,0.07147159442392997,0.1984620579591909,-0.15275100638937297,0.4105018977959223,-0.3183205766583101,0.6456575481956999,0.7187519782764931,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-12,189,True,True,0.9405819056972008,False,False
china_ppi_yoy_pct,7,0.03835306287244446,0.20116589821443226,-0.2449538667802832,0.417441529897258,-0.36934579168287895,0.53339331456385,0.848796759206053,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-11,188,True,False,0.9405819056972008,False,False
china_ppi_yoy_pct,8,-0.008987928979697062,0.20742286346840555,-0.18874352368660616,0.42432307813218695,-0.4061960022516219,0.533946618977215,0.9654373384147671,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-10,187,True,False,0.9654373384147671,False,False
china_ppi_yoy_pct,9,0.06308300030701386,0.21627215908899367,-0.20841873878404174,0.5062414608790587,-0.4123722227238294,0.7330051257189305,0.7705286967350825,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-09,186,True,False,0.9405819056972008,False,False
china_ppi_yoy_pct,10,0.09518902004561311,0.22254598655596458,-0.17381833650263734,0.5224695606267313,-0.41493354602639954,0.762384581060178,0.6688495862814637,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-08,185,True,False,0.9405819056972008,False,False
china_ppi_yoy_pct,11,-0.037348043420398463,0.2251131467693028,-0.29281167282723974,0.4476640772014202,-0.5747462389241418,0.6946010751352943,0.8682294514128007,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-07,184,True,False,0.9405819056972008,False,False
china_ppi_yoy_pct,12,-0.30653111551852247,0.21563664477806152,-0.580007009630248,0.18208107636041407,-0.7973973052703087,0.4645870550367305,0.15516657003020934,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2025-06,183,True,True,0.4034330820785443,False,False
china_cpi_yoy_pct,0,0.01893259499002515,0.030254053902183727,-0.03297192399085071,0.06569239869244116,-0.05551333498798466,0.08764441556300578,0.5314546302934094,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-06,195,True,True,0.5314546302934094,False,False
china_cpi_yoy_pct,1,0.11811335182480592,0.04384533825995635,0.042051089613411724,0.1894615419656721,-0.04523416332067336,0.22976365184329786,0.0070629105322037086,LocalProjection,"future outcome on reduced-form OilShock innovation with lagged outcome/shock, USD, GPR, month, COVID; block bootstrap intervals",reduced_form_ARX_oil_price_innovation_not_structural_supply_shock,2010-04,2026-05,194,True,False,0.09181783691864821,True,False
