outcome,country,reference_country,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,response_type,specification,sample_start,sample_end,n
cpi,DEU,CHN,0,0.2369733807872503,0.20038941312956737,-0.019835985327510436,0.49378274690201107,-0.15578265182981957,0.6297294134043202,0.23723855021205553,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,FRA,CHN,0,0.199058527511372,0.17968384608578297,-0.031215586742938173,0.4293326417656822,-0.15311533942040098,0.551232394443145,0.2681800306476314,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,ITA,CHN,0,0.270252840449638,0.23926516785763466,-0.03637780999860529,0.5768834908978813,-0.1986982713062565,0.7392039522055325,0.25892934796111566,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,ESP,CHN,0,0.310201939360015,0.2303867254490185,0.014949470680131305,0.6054544080398987,-0.1413477450361788,0.7617516237562088,0.17843924453425175,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,JPN,CHN,0,0.05103738823268087,0.19890425821452717,-0.20386867527563388,0.30594345174099563,-0.33880779423944757,0.44088257070480935,0.7975413822088102,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,KOR,CHN,0,0.21592412112286935,0.17260299963082956,-0.00527552327171435,0.437123765517453,-0.12237154177713683,0.5542197840228755,0.21120641238035454,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1299
cpi,DEU,CHN,1,0.1942037612245566,0.17965096534411792,-0.036028214663796465,0.42443573711290966,-0.15790566063776793,0.5463131830868811,0.27993270664567316,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,FRA,CHN,1,0.1773747965266891,0.1538111893037453,-0.019742173923802564,0.3744917669771808,-0.12408959492792407,0.4788391879813023,0.24908090794630278,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,ITA,CHN,1,0.18550469070811607,0.20632740451213608,-0.07891451755916598,0.4499238989753981,-0.2188895911592977,0.5898989725755298,0.36880828579622005,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
cpi,ESP,CHN,1,0.3669198119273711,0.20611570075668734,0.10277191293931609,0.6310677109154261,-0.03705953820397123,0.7708991620587134,0.07532656257948656,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-03,1298
