scenario,shock_quantile_value,shock,outcome,outcome_label,horizon,conditional_response_pctpt,joint_lower_95,joint_upper_95,joint_ci95_contains_zero,row_evidence_status,source_q2_evidence_status,sample_start,sample_end,specification
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,0,0.07093826340911451,-0.43649818911025995,0.578374715928489,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,3,0.15562840866760377,-0.28138245125062916,0.5926392685858367,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,6,-0.17507967985768563,-0.4984128799840685,0.1482535202686973,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,12,-0.2527090924887923,-0.5712014323997477,0.06578324742216303,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,0,0.12893342364348154,0.020545831882940627,0.23732101540402245,False,SUPPORTED_JOINT_95,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,3,0.36899669809373137,0.03234119129920821,0.7056522048882544,False,SUPPORTED_JOINT_95,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,6,0.35204754994213433,-0.11653881196001264,0.8206339118442814,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_ppi_yoy_pct,PPI,12,0.19827870719874105,-0.34558309163107775,0.7421405060285597,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,0,0.028145306693882727,-0.037925207725432,0.09421582111319751,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,3,0.08191635244563396,-0.06028498100649365,0.2241176858977617,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,6,0.107442399389242,-0.0770788541654873,0.29196365294397136,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
moderate_q75,0.5915139559091211,oil_specific_risk_shock,china_cpi_yoy_pct,CPI,12,0.09650263884903736,-0.0898810091441723,0.28288628684224704,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,0,0.12371957304183254,-0.7612727884076707,1.008711934491336,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,3,0.2714230564468806,-0.4907438532773444,1.0335899661711057,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,6,-0.30534696226452185,-0.8692548385989423,0.2585609140698987,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
severe_q90,1.0316273694396507,oil_specific_risk_shock,china_iav_yoy_pct,工业增加值,12,-0.44073620531405994,-0.996201400220633,0.11472898959251297,True,INCONCLUSIVE,INCONCLUSIVE,2010-09,2025-06,"historical positive structural-shock quantile multiplied by Q2 LP response; conditional scenario, not deterministic loss"
