horizon_months,metric,origins,block_length,bootstrap_reps,mean_difference_fhs_minus_gaussian,lower_95,upper_95,evidence_status
1,mean_pinball_loss,47,6,2000,-0.06418433368067258,-0.19737166832441255,0.12614416696523365,INCONCLUSIVE
1,interval_score_80,47,6,2000,-3.0012905144548974,-6.317266438545047,1.247324100456958,INCONCLUSIVE
1,interval_score_90,47,6,2000,-1.507305153184604,-9.383868829612434,9.769787993958447,INCONCLUSIVE
1,quantile_score_approx_crps,47,6,2000,-0.12836866736134517,-0.4001088226290996,0.2576378510021761,INCONCLUSIVE
3,mean_pinball_loss,47,6,2000,-0.1948329181709429,-0.38525016458967876,0.0497519737515148,INCONCLUSIVE
3,interval_score_80,47,6,2000,-7.360491872344673,-12.8963608230176,-0.22691698547743508,FHS_BETTER
3,interval_score_90,47,6,2000,-10.444503057831504,-17.357594610436344,-0.23701837730985764,FHS_BETTER
3,quantile_score_approx_crps,47,6,2000,-0.3896658363418858,-0.781105001878284,0.116951917616732,INCONCLUSIVE
6,mean_pinball_loss,47,6,2000,-0.170220062946333,-0.5192287140576,0.30089611881814543,INCONCLUSIVE
6,interval_score_80,47,6,2000,-10.944122852025021,-19.467048149682867,-0.7933176269101404,FHS_BETTER
6,interval_score_90,47,6,2000,-6.83800300514398,-23.64701707058571,21.229238911242437,INCONCLUSIVE
6,quantile_score_approx_crps,47,6,2000,-0.340440125892666,-1.0721838742224095,0.6178455807016006,INCONCLUSIVE
