sample_split,strategy,rho_normal,rho_stress,rho_extreme,J1_macro_loss,J2_cvar95_macro_loss,J3_avg_gap_month_burden,J4_adjustment_volatility,scenario_count,max_gap_ratio,max_terminal_gap_ratio,max_recovery_terminal_gap_ratio,max_monthly_adjustment_ratio,J1_macro_loss_improvement_vs_full_pct,J2_cvar95_macro_loss_improvement_vs_full_pct,J1_macro_loss_lower_95,J1_macro_loss_upper_95,J2_cvar95_macro_loss_lower_95,J2_cvar95_macro_loss_upper_95
development,full_mechanism,1.0,1.0,1.0,0.3074280139970855,1.0985581637200543,0.0,0.0454210824387234,101,0.0,0.0,0.0,0.13678291781872254,0.0,0.0,0.18213762992588745,0.5355313901062922,0.6326404600851256,1.7796890141174975
development,uniform_75_smoothing,0.75,0.75,0.75,0.27278013917511773,1.0194160138849302,0.004812713548395075,0.04147941093597863,101,0.02687493691329363,0.02687493691329363,6.561263894847078e-06,0.13678291781872254,11.270239940559309,7.204183851961427,0.15817435823656675,0.4750676852479238,0.5717503924112307,1.6527179145235629
development,temporary_2026_approx,1.0,1.0,0.52579,0.30111146695527835,1.0792118131280577,0.0011792779648961064,0.04352206065667052,101,0.0509774553346119,0.0509774553346119,0.0,0.13678291781872254,2.054642633142423,1.7610674819878416,0.17371019534281634,0.5315706487539528,0.5946146547773443,1.761254631722154
development,SAPR_CVaR_knee,0.3,0.1,0.1,0.13152290800116137,0.5224602591829074,0.02446445997414119,0.03323744448027221,101,0.15667389844617297,0.15667389844617297,0.018432527478293794,0.13678291781872254,57.218307371816735,52.4412747146954,0.07752583452575189,0.22831503366277697,0.30408191199900236,0.8303578244796774
holdout,full_mechanism,1.0,1.0,1.0,0.3154640857395282,1.9571176234169052,0.0,0.050324937672044094,49,0.0,0.0,0.0,0.3681120656436294,0.0,0.0,0.11878923818482622,0.7379900762298536,0.5036225997208706,3.2244561582543114
holdout,uniform_75_smoothing,0.75,0.75,0.75,0.2812027481623047,1.791562023780766,0.005202842839050695,0.043814303530938646,49,0.09531883525082906,0.09531883525082906,2.3271200012409438e-05,0.28595650575248716,10.860614290500354,8.459154301983038,0.0993325570614531,0.6416817115964798,0.4318883757383443,2.897492714132962
holdout,temporary_2026_approx,1.0,1.0,0.52579,0.29408526982126393,1.7680940125984936,0.003084394834433546,0.04261997561564358,49,0.1745624226488655,0.1745624226488655,0.0,0.2022692663669452,6.776941301621355,9.65826522416153,0.11289887295124543,0.6711127466632042,0.49002604491252544,2.975249980935715
holdout,SAPR_CVaR_knee,0.3,0.1,0.1,0.16497618828513447,1.197870198099962,0.022215057673794943,0.03508670782942503,49,0.2,0.2,0.023529799999999993,0.21995914699553953,47.70365447515579,38.79416424606015,0.05360159289180865,0.4079386165494874,0.266255660498165,2.2267119731151332
war_2026,full_mechanism,1.0,1.0,1.0,2.4129386409089784,2.4129386409089784,0.0,0.1148479568056224,1,0.0,0.0,0.0,0.3681120656436294,0.0,0.0,1.5270585594315753,3.780454198259553,1.5270585594315753,3.780454198259553
war_2026,uniform_75_smoothing,0.75,0.75,0.75,2.236374982246352,2.236374982246352,0.026582649832953963,0.09211338575387282,1,0.09531883525082906,0.0,0.0,0.28595650575248716,7.3173704324330915,7.3173704324330915,1.391054729984759,3.483589767461368,1.391054729984759,3.483589767461368
war_2026,temporary_2026_approx,1.0,1.0,0.52579,2.234584913706446,2.234584913706446,0.029093737108144252,0.08213631345001517,1,0.1745624226488655,0.0,0.0,0.2022692663669452,7.391556676109458,7.391556676109458,1.3638995169728156,3.4472967560350267,1.3638995169728156,3.4472967560350267
war_2026,SAPR_CVaR_knee,0.3,0.1,0.1,1.7115801906794148,1.7115801906794148,0.09713013904532503,0.0678281120214581,1,0.2,0.024771470509138128,0.0029143387339295905,0.21995914699553953,29.066567973952075,29.066567973952075,1.0467685887501337,2.6717046349838616,1.0467685887501337,2.6717046349838616
war_2026,actual_2026_event_path,,,,1.6477116947400574,1.6477116947400574,0.09329405162738495,0.08558160638777876,1,0.14993686868686867,0.14993686868686867,0.14993686868686867,0.2354647868168733,31.713485506645632,31.713485506645632,1.0592658982676344,2.581638135897381,1.0592658982676344,2.581638135897381
